Order Date,Region,Category,Sub-Category,Customer Name,Quantity,Sales,Discount,Profit
2024-09-02,West,Furniture,Furnishings,Customer 11,2,90.02,0.0,18.53
2024-07-26,South,Furniture,Bookcases,Customer 30,3,294.84,0.0,73.93
2023-10-04,South,Furniture,Furnishings,Customer 100,12,804.73,0.15,19.06
2024-02-09,Central,Technology,Copiers,Customer 69,9,1318.44,0.3,151.56
2023-08-18,West,Office Supplies,Binders,Customer 5,13,197.25,0.1,17.24
2024-11-23,Central,Office Supplies,Binders,Customer 76,8,41.21,0.15,1.59
2024-04-15,East,Office Supplies,Paper,Customer 68,13,109.49,0.3,10.51
2024-03-13,East,Office Supplies,Labels,Customer 69,5,8.33,0.2,1.19
2023-03-13,South,Office Supplies,Paper,Customer 106,7,151.61,0.1,42.3
2024-02-25,Central,Technology,Copiers,Customer 1,8,960.46,0.15,105.8
2023-11-12,East,Technology,Copiers,Customer 68,6,331.95,0.2,-64.2
2023-07-05,Central,Office Supplies,Labels,Customer 112,7,35.14,0.0,-0.21
2024-11-02,East,Office Supplies,Binders,Customer 5,11,205.73,0.1,40.08
2024-11-29,West,Office Supplies,Paper,Customer 18,3,13.99,0.2,3.79
2024-10-22,West,Office Supplies,Labels,Customer 24,1,12.71,0.0,2.94
2024-12-03,East,Technology,Accessories,Customer 87,6,794.63,0.0,209.43
2023-08-13,West,Office Supplies,Paper,Customer 87,9,191.96,0.1,-25.06
2024-06-08,West,Office Supplies,Storage,Customer 110,9,113.54,0.15,-6.79
2024-04-14,Central,Office Supplies,Storage,Customer 73,11,134.8,0.4,-11.98
2024-11-13,West,Office Supplies,Binders,Customer 120,8,87.65,0.1,24.26
2023-04-23,West,Office Supplies,Art,Customer 41,10,67.93,0.4,8.65
2023-04-14,West,Office Supplies,Binders,Customer 117,5,94.92,0.0,1.83
2023-04-22,East,Furniture,Tables,Customer 9,4,107.71,0.0,28.34
2024-12-02,West,Office Supplies,Storage,Customer 107,13,55.35,0.1,15.3
2024-12-01,West,Office Supplies,Binders,Customer 11,8,123.82,0.0,27.69
2023-06-09,West,Technology,Phones,Customer 61,1,162.75,0.3,-23.94
2023-02-24,South,Office Supplies,Binders,Customer 3,4,53.58,0.1,-7.0
2023-08-08,West,Office Supplies,Storage,Customer 110,2,3.33,0.3,0.71
2024-06-27,East,Office Supplies,Binders,Customer 85,4,30.11,0.0,1.94
2024-06-03,South,Furniture,Furnishings,Customer 52,8,848.6,0.1,158.17
2023-08-17,West,Office Supplies,Art,Customer 71,8,71.06,0.0,18.8
2024-03-12,West,Office Supplies,Labels,Customer 78,1,9.59,0.2,2.19
2024-09-14,East,Technology,Machines,Customer 104,5,877.76,0.0,241.35
2023-09-18,Central,Furniture,Tables,Customer 87,9,564.84,0.0,106.74
2024-08-30,East,Office Supplies,Storage,Customer 79,6,80.18,0.2,-21.82
2023-06-20,Central,Technology,Phones,Customer 58,3,68.54,0.0,28.78
2023-03-22,South,Technology,Phones,Customer 18,9,1784.68,0.3,-169.78
2023-01-13,Central,Office Supplies,Paper,Customer 92,2,18.88,0.1,4.28
2024-07-25,East,Furniture,Furnishings,Customer 99,6,185.11,0.2,-3.82
2024-04-20,East,Office Supplies,Labels,Customer 59,5,64.86,0.2,22.5
2023-06-07,East,Office Supplies,Labels,Customer 23,7,149.91,0.0,58.64
2023-12-24,East,Office Supplies,Labels,Customer 73,6,71.67,0.1,14.38
2024-08-24,East,Technology,Copiers,Customer 103,12,963.71,0.1,293.16
2024-02-13,Central,Technology,Machines,Customer 89,8,1097.16,0.0,150.6
2023-12-24,South,Office Supplies,Labels,Customer 41,7,119.68,0.0,20.4
2023-11-12,East,Office Supplies,Storage,Customer 9,13,136.52,0.4,-17.83
2024-04-17,East,Office Supplies,Art,Customer 101,4,56.41,0.0,21.23
2023-12-02,East,Technology,Phones,Customer 68,10,735.53,0.1,-150.4
2024-11-14,Central,Furniture,Bookcases,Customer 23,13,1374.86,0.0,332.19
2024-12-19,West,Office Supplies,Binders,Customer 14,10,78.22,0.3,19.56
2023-07-17,West,Furniture,Bookcases,Customer 41,8,287.33,0.0,86.73
2024-11-16,South,Office Supplies,Paper,Customer 15,11,155.87,0.1,23.55
2024-08-02,South,Technology,Phones,Customer 31,2,238.46,0.0,140.89
2023-08-10,West,Office Supplies,Binders,Customer 53,1,15.55,0.1,2.92
2024-06-08,West,Technology,Phones,Customer 106,10,810.15,0.3,-13.14
2024-01-24,Central,Furniture,Furnishings,Customer 17,1,82.16,0.15,6.29
2023-02-07,South,Technology,Copiers,Customer 49,3,193.51,0.1,56.48
2024-05-14,South,Technology,Phones,Customer 12,4,433.08,0.0,129.38
2023-01-07,East,Office Supplies,Binders,Customer 75,1,13.76,0.0,5.3
2024-12-05,West,Office Supplies,Labels,Customer 111,5,8.33,0.3,-0.61
2023-06-07,South,Technology,Copiers,Customer 69,4,404.02,0.2,-53.51
2024-07-17,East,Furniture,Furnishings,Customer 72,10,989.92,0.0,385.97
2023-09-10,West,Office Supplies,Binders,Customer 19,4,95.29,0.1,13.34
2023-12-04,East,Furniture,Chairs,Customer 25,11,1055.45,0.4,-203.74
2024-09-22,West,Technology,Accessories,Customer 87,2,61.4,0.0,14.56
2023-12-02,South,Office Supplies,Labels,Customer 74,5,13.82,0.1,3.14
2023-02-24,South,Technology,Accessories,Customer 75,6,215.06,0.1,61.79
2023-02-14,West,Office Supplies,Storage,Customer 75,10,84.83,0.3,24.72
2024-12-26,Central,Office Supplies,Paper,Customer 85,2,44.22,0.3,-1.5
2023-06-02,West,Office Supplies,Labels,Customer 70,6,142.22,0.0,69.09
2024-02-12,East,Furniture,Furnishings,Customer 47,7,455.09,0.0,4.2
2024-06-18,South,Technology,Phones,Customer 33,1,126.66,0.0,20.73
2023-04-11,West,Office Supplies,Labels,Customer 28,1,19.18,0.1,3.98
2023-07-06,Central,Office Supplies,Storage,Customer 37,11,179.77,0.4,-3.99
2023-11-30,South,Furniture,Chairs,Customer 96,1,57.52,0.2,-13.15
2024-11-09,South,Office Supplies,Labels,Customer 36,9,92.47,0.0,37.43
2023-09-26,South,Furniture,Chairs,Customer 30,11,1121.17,0.15,352.32
2024-02-16,East,Office Supplies,Storage,Customer 11,11,34.05,0.15,10.68
2024-07-14,East,Office Supplies,Paper,Customer 93,2,8.9,0.3,-2.26
2023-07-11,West,Technology,Accessories,Customer 110,10,1798.8,0.4,-222.09
2024-11-21,Central,Technology,Machines,Customer 12,6,925.39,0.2,13.98
2023-07-17,West,Office Supplies,Labels,Customer 14,8,24.24,0.2,-1.25
2023-12-30,East,Furniture,Bookcases,Customer 104,5,497.44,0.0,-64.36
2024-05-23,East,Office Supplies,Paper,Customer 97,1,8.32,0.0,1.51
2024-10-31,East,Technology,Accessories,Customer 94,10,1505.05,0.0,-162.03
2024-02-16,South,Furniture,Chairs,Customer 73,8,751.78,0.3,64.65
2023-01-30,Central,Technology,Copiers,Customer 70,2,220.63,0.15,11.14
2024-04-02,Central,Office Supplies,Art,Customer 85,9,62.13,0.1,7.84
2024-08-27,East,Office Supplies,Labels,Customer 70,10,213.14,0.2,54.96
2023-10-21,East,Office Supplies,Storage,Customer 33,8,144.54,0.2,30.05
2024-09-20,Central,Office Supplies,Paper,Customer 86,3,29.34,0.3,-4.02
2023-08-09,South,Office Supplies,Labels,Customer 13,10,137.12,0.0,60.69
2023-01-08,East,Office Supplies,Art,Customer 22,6,100.08,0.1,25.58
2023-01-16,East,Technology,Copiers,Customer 56,10,1345.56,0.0,87.5
2024-11-09,West,Office Supplies,Storage,Customer 109,5,8.33,0.2,-0.39
2024-03-24,South,Furniture,Furnishings,Customer 101,13,637.53,0.1,91.12
2023-08-16,South,Furniture,Chairs,Customer 114,3,87.08,0.2,29.15
2023-05-20,South,Technology,Copiers,Customer 105,9,1298.39,0.2,58.12
2023-05-29,East,Furniture,Chairs,Customer 39,7,492.73,0.3,-91.72
2023-02-18,Central,Office Supplies,Binders,Customer 16,6,91.62,0.0,-0.03
2024-09-11,South,Office Supplies,Binders,Customer 38,9,103.44,0.15,2.05
2023-08-21,West,Office Supplies,Paper,Customer 32,1,5.6,0.15,-0.35
2023-10-18,Central,Technology,Copiers,Customer 109,1,207.45,0.0,50.52
2023-08-26,East,Technology,Phones,Customer 5,4,434.15,0.3,49.16
2024-02-28,Central,Office Supplies,Binders,Customer 57,1,17.32,0.2,-1.16
2024-09-16,West,Office Supplies,Storage,Customer 36,3,21.87,0.15,4.6
2023-05-06,South,Furniture,Bookcases,Customer 48,8,391.17,0.0,47.03
2024-08-23,West,Technology,Accessories,Customer 56,6,670.35,0.4,-109.91
2023-03-10,East,Furniture,Tables,Customer 49,8,445.97,0.15,62.26
2023-06-23,West,Furniture,Furnishings,Customer 12,5,304.62,0.0,7.61
2023-02-26,West,Furniture,Bookcases,Customer 48,13,1120.77,0.0,308.26
2024-12-16,East,Technology,Accessories,Customer 119,13,568.88,0.3,13.87
2023-03-06,East,Office Supplies,Paper,Customer 80,3,64.74,0.0,8.72
2023-03-25,South,Technology,Machines,Customer 120,6,112.68,0.2,36.72
2024-05-30,Central,Furniture,Chairs,Customer 83,4,171.16,0.2,-12.06
2023-08-12,Central,Technology,Machines,Customer 120,2,371.93,0.15,128.94
2024-06-21,South,Technology,Phones,Customer 8,5,292.57,0.0,-13.86
2024-01-02,South,Technology,Phones,Customer 41,5,825.93,0.1,125.28
2023-11-12,Central,Office Supplies,Binders,Customer 19,7,110.82,0.15,-6.59
2023-05-12,East,Technology,Machines,Customer 31,7,855.56,0.0,161.52
2023-02-07,West,Office Supplies,Binders,Customer 1,13,181.35,0.0,44.71
2023-09-20,West,Furniture,Chairs,Customer 101,10,667.62,0.3,124.27
2024-06-20,South,Technology,Copiers,Customer 72,13,1812.85,0.0,143.84
2024-05-10,West,Technology,Phones,Customer 86,6,340.3,0.2,50.34
2024-04-26,South,Office Supplies,Art,Customer 89,12,125.12,0.3,16.2
2023-04-02,East,Furniture,Tables,Customer 17,5,136.14,0.0,28.99
2024-11-09,South,Office Supplies,Binders,Customer 31,5,79.08,0.3,17.77
2024-01-13,Central,Office Supplies,Storage,Customer 85,8,44.0,0.3,-3.5
2023-12-08,East,Furniture,Bookcases,Customer 114,13,995.13,0.1,-194.63
2024-08-03,South,Office Supplies,Storage,Customer 35,1,12.05,0.1,-3.03
2023-04-22,West,Office Supplies,Labels,Customer 88,12,20.0,0.0,4.66
2023-02-24,East,Office Supplies,Storage,Customer 119,13,190.55,0.15,42.07
2023-04-28,East,Technology,Machines,Customer 68,1,62.69,0.1,11.27
2023-09-15,Central,Technology,Copiers,Customer 14,7,812.31,0.0,89.55
2023-01-21,East,Office Supplies,Binders,Customer 98,3,28.99,0.2,0.07
2023-05-05,Central,Office Supplies,Binders,Customer 93,5,44.73,0.1,4.18
2024-07-28,West,Office Supplies,Binders,Customer 75,13,116.75,0.2,2.3
2024-04-05,South,Office Supplies,Art,Customer 47,12,81.37,0.3,0.29
2024-08-01,East,Technology,Accessories,Customer 76,6,985.56,0.1,-96.56
2023-12-11,West,Office Supplies,Storage,Customer 23,9,101.57,0.0,24.44
2023-10-05,West,Office Supplies,Storage,Customer 89,11,127.54,0.2,16.16
2023-10-22,West,Furniture,Furnishings,Customer 27,5,177.5,0.15,-36.97
2024-09-07,East,Office Supplies,Binders,Customer 117,5,62.2,0.1,13.95
2023-03-04,East,Technology,Accessories,Customer 45,3,531.6,0.0,37.04
2023-11-20,West,Office Supplies,Binders,Customer 102,9,69.23,0.15,0.77
2024-12-24,South,Technology,Copiers,Customer 83,3,176.73,0.0,47.53
2023-09-23,West,Office Supplies,Art,Customer 97,4,75.29,0.0,23.8
2024-12-08,Central,Office Supplies,Labels,Customer 83,11,56.66,0.15,4.4
2024-05-01,East,Office Supplies,Labels,Customer 107,5,70.45,0.1,-5.03
2024-01-23,West,Furniture,Chairs,Customer 38,6,398.7,0.15,42.69
2024-06-23,West,Office Supplies,Art,Customer 100,10,143.21,0.1,41.27
2024-09-30,South,Office Supplies,Storage,Customer 112,6,47.98,0.3,-0.65
2023-10-23,West,Office Supplies,Binders,Customer 31,10,106.15,0.2,14.61
2023-02-13,West,Furniture,Bookcases,Customer 80,1,33.06,0.1,6.37
2024-04-13,Central,Office Supplies,Labels,Customer 115,7,76.15,0.0,16.34
2024-05-21,West,Furniture,Bookcases,Customer 22,12,710.62,0.0,60.39
2023-06-26,West,Furniture,Furnishings,Customer 58,7,335.08,0.15,54.52
2024-07-05,Central,Office Supplies,Binders,Customer 30,12,44.31,0.2,10.76
2024-06-01,Central,Office Supplies,Art,Customer 72,9,68.22,0.0,13.35
2024-11-12,East,Technology,Phones,Customer 116,7,1355.79,0.0,-166.23
2023-05-09,East,Office Supplies,Paper,Customer 11,5,85.24,0.3,0.08
2023-06-24,West,Office Supplies,Binders,Customer 105,8,113.89,0.0,31.6
2023-07-11,East,Furniture,Furnishings,Customer 113,2,72.16,0.2,-8.73
2023-10-06,Central,Technology,Accessories,Customer 103,5,861.79,0.4,150.65
2023-07-02,West,Furniture,Bookcases,Customer 27,3,87.59,0.2,6.05
2023-09-05,East,Furniture,Furnishings,Customer 54,8,471.53,0.1,89.43
2023-02-04,South,Office Supplies,Labels,Customer 102,3,57.24,0.3,9.64
2023-07-27,East,Technology,Machines,Customer 101,12,1680.39,0.0,-126.34
2023-11-29,Central,Office Supplies,Paper,Customer 28,12,135.1,0.0,-27.38
2023-10-28,West,Office Supplies,Paper,Customer 53,2,21.0,0.15,-1.49
2024-10-11,East,Office Supplies,Storage,Customer 73,3,33.52,0.3,0.93
2024-05-15,South,Office Supplies,Storage,Customer 101,4,43.87,0.3,5.06
2024-06-26,East,Technology,Machines,Customer 59,13,1840.96,0.3,206.72
2023-04-08,East,Technology,Accessories,Customer 90,8,413.58,0.0,121.33
2024-03-08,East,Technology,Copiers,Customer 66,3,372.45,0.2,104.4
2024-03-12,East,Technology,Accessories,Customer 63,5,614.76,0.15,104.15
2023-03-02,South,Office Supplies,Binders,Customer 85,2,23.26,0.15,-0.09
2024-01-14,West,Technology,Phones,Customer 8,13,1066.36,0.0,-77.22
2024-03-04,East,Office Supplies,Binders,Customer 27,13,21.67,0.15,2.06
2023-01-03,South,Furniture,Chairs,Customer 39,12,619.38,0.1,139.68
2024-10-13,South,Office Supplies,Storage,Customer 119,13,290.98,0.4,23.21
2023-01-07,West,Furniture,Furnishings,Customer 65,7,530.36,0.15,201.66
2023-09-18,East,Technology,Copiers,Customer 57,4,6.67,0.0,2.11
2023-04-10,West,Furniture,Tables,Customer 120,7,605.1,0.0,-0.21
2024-10-23,West,Office Supplies,Binders,Customer 57,4,34.08,0.15,-0.68
2024-11-25,West,Technology,Accessories,Customer 76,1,72.21,0.3,-12.27
2023-01-30,Central,Office Supplies,Labels,Customer 83,11,24.7,0.0,3.68
2024-07-18,West,Office Supplies,Labels,Customer 14,8,158.66,0.15,18.59
2024-04-20,South,Technology,Machines,Customer 110,1,207.25,0.15,-25.79
2023-02-02,East,Office Supplies,Art,Customer 117,4,18.49,0.0,1.34
2024-12-17,East,Office Supplies,Storage,Customer 67,6,58.8,0.2,7.43
2023-09-08,Central,Furniture,Chairs,Customer 14,4,353.02,0.2,54.87
2023-11-02,South,Technology,Machines,Customer 105,7,1079.87,0.0,194.87
2024-04-23,Central,Furniture,Chairs,Customer 100,3,218.82,0.2,10.69
2023-08-18,Central,Furniture,Furnishings,Customer 9,11,581.41,0.1,138.02
2023-02-27,West,Office Supplies,Storage,Customer 49,5,35.81,0.15,16.52
2024-03-08,West,Furniture,Tables,Customer 76,1,134.03,0.15,30.62
2023-01-28,South,Office Supplies,Binders,Customer 114,5,18.79,0.3,-0.7
2024-03-03,West,Technology,Copiers,Customer 54,2,62.28,0.15,15.5
2023-07-23,Central,Technology,Machines,Customer 35,6,676.05,0.15,34.65
2024-01-07,South,Office Supplies,Art,Customer 13,1,8.96,0.15,1.37
2023-07-26,West,Furniture,Bookcases,Customer 53,4,345.4,0.2,18.54
2024-11-05,West,Office Supplies,Paper,Customer 30,11,103.24,0.3,12.12
2024-11-19,Central,Office Supplies,Labels,Customer 40,12,84.6,0.1,45.59
2024-09-08,South,Office Supplies,Binders,Customer 28,9,199.3,0.15,88.79
2023-04-19,East,Office Supplies,Storage,Customer 82,6,65.55,0.1,6.78
2024-08-02,West,Technology,Accessories,Customer 32,4,743.38,0.4,-93.9
2023-08-08,East,Furniture,Chairs,Customer 68,13,1156.26,0.0,248.72
2023-05-17,West,Furniture,Chairs,Customer 39,9,410.15,0.3,-77.47
2023-11-26,South,Office Supplies,Art,Customer 116,6,65.78,0.2,14.66
2024-07-20,East,Furniture,Bookcases,Customer 85,9,580.19,0.0,60.79
2023-03-21,East,Furniture,Chairs,Customer 25,13,1119.45,0.2,-85.5
2024-08-16,East,Technology,Machines,Customer 106,3,229.75,0.1,9.7
2023-10-25,West,Office Supplies,Storage,Customer 55,10,63.98,0.4,17.17
2023-11-26,East,Office Supplies,Labels,Customer 77,6,94.28,0.0,42.18
2024-04-24,East,Technology,Phones,Customer 84,6,385.37,0.1,178.45
2024-02-03,East,Furniture,Furnishings,Customer 95,10,949.19,0.3,-314.41
2024-07-18,West,Technology,Phones,Customer 82,1,48.65,0.0,-4.19
2023-06-03,East,Technology,Copiers,Customer 23,3,493.03,0.1,74.39
2024-05-21,East,Office Supplies,Binders,Customer 73,11,158.01,0.3,-25.23
2023-06-19,West,Office Supplies,Binders,Customer 114,5,53.03,0.1,1.59
2024-11-01,West,Technology,Machines,Customer 37,11,1624.79,0.0,411.19
2024-10-22,East,Furniture,Chairs,Customer 25,10,566.69,0.0,148.44
2024-09-04,Central,Office Supplies,Labels,Customer 101,13,210.11,0.4,-7.8
2023-07-14,East,Technology,Copiers,Customer 24,11,1364.84,0.4,-370.21
2024-09-29,South,Office Supplies,Labels,Customer 59,10,237.32,0.0,55.49
2024-11-15,East,Technology,Accessories,Customer 30,4,753.07,0.1,121.65
2023-06-23,South,Office Supplies,Labels,Customer 68,10,29.74,0.0,4.18
2024-04-07,South,Office Supplies,Paper,Customer 17,5,48.33,0.2,-1.78
2023-07-10,East,Furniture,Bookcases,Customer 94,10,420.41,0.0,111.5
2024-09-12,West,Technology,Copiers,Customer 67,8,884.25,0.1,250.85
2024-04-23,East,Technology,Machines,Customer 60,8,790.33,0.15,161.12
2024-12-20,East,Office Supplies,Labels,Customer 53,10,228.66,0.1,24.42
2023-12-17,East,Technology,Phones,Customer 78,10,2284.67,0.0,1023.38
2024-07-28,West,Technology,Copiers,Customer 59,13,1394.8,0.1,84.22
2023-09-29,West,Office Supplies,Labels,Customer 120,9,147.01,0.3,-10.08
2023-04-15,West,Office Supplies,Labels,Customer 58,4,41.8,0.1,7.49
2023-12-23,Central,Technology,Copiers,Customer 17,4,367.22,0.0,118.42
2024-06-27,West,Office Supplies,Labels,Customer 108,10,80.75,0.0,29.05
2023-05-19,Central,Technology,Machines,Customer 116,3,227.48,0.0,24.01
2024-12-26,East,Furniture,Bookcases,Customer 37,5,345.92,0.0,167.59
2024-07-20,South,Technology,Machines,Customer 94,5,32.38,0.1,17.53
2023-12-12,Central,Office Supplies,Paper,Customer 70,10,259.97,0.3,64.02
2024-03-21,South,Technology,Phones,Customer 86,8,1178.39,0.0,242.53
2024-02-26,South,Office Supplies,Storage,Customer 117,1,7.48,0.0,1.14
2023-03-03,East,Office Supplies,Labels,Customer 21,5,98.56,0.2,-4.71
2024-09-28,South,Furniture,Chairs,Customer 85,8,672.23,0.2,174.42
2023-05-24,Central,Office Supplies,Binders,Customer 12,2,14.92,0.0,1.47
2023-08-16,South,Technology,Machines,Customer 92,9,1136.95,0.0,354.05
2024-09-22,South,Furniture,Furnishings,Customer 24,5,429.67,0.15,173.97
2023-09-30,Central,Office Supplies,Art,Customer 64,9,180.39,0.4,-18.72
2023-12-26,East,Office Supplies,Art,Customer 42,3,22.79,0.0,7.43
2023-11-10,Central,Office Supplies,Labels,Customer 67,2,24.89,0.4,-4.98
2023-03-22,East,Furniture,Tables,Customer 16,6,370.6,0.0,68.35
2024-09-01,Central,Furniture,Tables,Customer 50,11,605.14,0.1,129.68
2024-12-03,East,Technology,Accessories,Customer 45,1,56.42,0.1,11.42
2024-07-17,East,Office Supplies,Paper,Customer 77,8,136.83,0.2,35.26
2023-10-30,East,Technology,Phones,Customer 33,4,908.31,0.0,330.41
2024-03-25,Central,Office Supplies,Paper,Customer 101,2,17.35,0.3,-0.84
2024-09-01,East,Office Supplies,Storage,Customer 91,6,47.58,0.0,20.34
2024-12-15,West,Technology,Copiers,Customer 41,7,612.87,0.0,104.32
2024-03-06,South,Office Supplies,Art,Customer 110,4,43.49,0.1,2.43
2023-12-16,South,Furniture,Furnishings,Customer 86,10,585.21,0.2,103.32
2023-08-29,West,Furniture,Tables,Customer 106,2,120.26,0.0,-2.6
2023-04-30,West,Office Supplies,Art,Customer 51,6,67.52,0.4,2.05
2023-04-30,East,Office Supplies,Storage,Customer 43,6,93.93,0.4,2.57
2023-11-30,West,Office Supplies,Art,Customer 56,4,61.81,0.1,6.16
2024-09-25,West,Furniture,Furnishings,Customer 34,9,490.11,0.0,136.93
2023-05-31,East,Technology,Copiers,Customer 24,7,1302.04,0.0,349.63
2024-04-23,East,Office Supplies,Art,Customer 102,2,22.03,0.0,1.69
2024-01-29,South,Office Supplies,Art,Customer 114,13,192.61,0.1,27.6
2024-10-14,West,Office Supplies,Paper,Customer 20,13,192.85,0.2,11.92
2024-09-28,South,Technology,Phones,Customer 103,11,874.91,0.3,155.82
2023-01-13,East,Office Supplies,Art,Customer 46,10,44.02,0.0,11.82
2024-12-26,Central,Office Supplies,Labels,Customer 60,1,10.28,0.4,-0.17
2024-09-11,West,Office Supplies,Art,Customer 24,4,8.98,0.15,2.57
2023-06-23,West,Office Supplies,Labels,Customer 95,10,44.64,0.15,-2.02
2023-10-26,East,Technology,Machines,Customer 88,2,281.69,0.1,60.23
2024-06-24,East,Technology,Machines,Customer 38,9,963.71,0.3,86.9
2024-01-24,East,Office Supplies,Labels,Customer 4,4,14.16,0.15,-1.57
2023-05-18,South,Office Supplies,Art,Customer 99,9,15.0,0.1,-0.09
2023-06-04,East,Office Supplies,Labels,Customer 57,9,107.83,0.0,24.73
2024-01-01,East,Furniture,Furnishings,Customer 25,1,40.47,0.1,0.09
2024-01-29,South,Furniture,Bookcases,Customer 101,13,709.59,0.2,-45.82
2023-06-17,East,Office Supplies,Paper,Customer 21,7,53.87,0.0,5.23
2024-04-05,West,Furniture,Furnishings,Customer 109,1,27.24,0.4,-2.93
2024-01-13,South,Office Supplies,Binders,Customer 33,13,239.87,0.1,75.24
2023-08-23,South,Furniture,Chairs,Customer 23,9,330.28,0.0,106.42
2024-02-02,South,Office Supplies,Storage,Customer 77,3,5.0,0.1,1.36
2023-12-13,West,Office Supplies,Art,Customer 102,1,22.4,0.3,3.68
2023-12-31,West,Furniture,Furnishings,Customer 54,5,395.61,0.0,66.77
2023-02-13,South,Office Supplies,Storage,Customer 66,5,61.62,0.15,-2.44
2024-07-06,South,Office Supplies,Labels,Customer 36,5,22.27,0.15,2.08
2024-11-22,West,Office Supplies,Art,Customer 85,4,25.96,0.0,5.46
2024-09-28,East,Office Supplies,Art,Customer 75,8,94.31,0.15,16.18
2024-06-17,Central,Office Supplies,Labels,Customer 87,6,161.42,0.0,41.29
2023-08-31,East,Technology,Phones,Customer 73,13,939.27,0.2,279.06
2023-11-02,East,Office Supplies,Binders,Customer 27,10,148.41,0.4,-41.37
2024-02-24,East,Technology,Machines,Customer 85,9,1587.01,0.2,73.85
2024-05-11,South,Office Supplies,Binders,Customer 30,6,23.92,0.1,12.05
